Facility Name,CMS Certification Number (CCN),Address,City,State,Zip Code,Network,VAT Catheter Measure Score Applied,National Average VAT Catheter Measure Score,VAT Fistula Achievement Period Numerator,VAT Fistula Achievement Period Denominator,VAT Fistula Measure Score Applied,National Average VAT Fistula Measure Score,National Average Vascular Access Combined Measure Score,Kt/V Comprehensive Achievement Period Numerator,Kt/V Comprehensive Achievement Period Denominator,Kt/V Comprehensive Improvement Period Denominator,Kt/V Comprehensive Measure Score Applied,National Average Kt/V Comprehensive Measure Score,Hypercalcemia Measure Score,Hypercalcemia Reason for No Score (See Footnotes File),Hypercalcemia Achievement Measure Rate,Hypercalcemia Achievement Period Numerator,Hypercalcemia Achievement Period Denominator,Hypercalcemia Measure Score Applied,National Average NHSN Influenza Measure Score,NHSN BSI Measure Score Applied,National Average NHSN BSI Measure Score,NHSN Dialysis Event Reporting Number of Months Reported,NHSN Combined Measure Score,National Average NHSN Combined Measure Score,ICH CAHPS Measure Score,ICH CAHPS Reason for No Score (See Footnotes File),ICH CAHPS Achievement Period Count of Completed Surveys,ICH CAHPS Improvement Period Count of Completed Surveys,ICH CAHPS Measure Score Applied,National Average ICH CAHPS Measure Score,ICH CAHPS Neph Comm and Caring Measure Score Applied,Serum Phosphorus Measure Score,National Average Serum Phosphorus Measure Score,National Average Anemia Management Measure Score,SRR Reason for No Score (See Footnotes File),SRR Achievement Period Numerator,SRR Achievement Period Denominator,SRR Improvement Period Numerator,SRR Measure Score Applied,National Average SRR Measure Score,Standardized Transfusion Ratio (STrR) Measure Score,STrR Achievement Measure Ratio,Number of Patient-Years at Risk in STrR Achievement Period,STrR Achievement Period Numerator,STrR Achievement Period Denominator,STrR Improvement Measure Ratio,STrR Measure Score Applied,National Average STrR Measure Score,SHR Achievement Period Numerator,SHR Achievement Period Denominator,SHR Measure Score Applied,National Average SHR Measure Score,Pain Assessment and Follow-up Measure Score,Ultrafiltration Measure Score,Ultrafiltration Reason for No Score (See Footnotes File),National Average Ultrafiltration Measure Score,Total-Performance-Score,PY2020 Payment Reduction Percentage,CMS Certification Date,"Ownership as of December 31, 2018",Date of Ownership Record Update
WEYMOUTH DIALYSIS,222517,330 LIBBEY INDUSTRIAL PARKWAY SUITE 900,WEYMOUTH,MA,2189,1,Achievement,5,647,926,Achievement,5,5,1306,1346,1383,Achievement,7,6,-,0.91%,13,1434,Achievement,10,Achievement,6,12,8,7,4,-,54,60,Achievement,5,Achievement,10,9,10,-,76,61.851,63,Achievement,5,8,0.629,55.74537988,16,25.447,0.805,Achievement,5,204,182.54,Achievement,5,10,1,-,4,59,No Reduction,8/13/1991,DAVITA,8/4/2007
QUALITY CARE DIALYSIS CENTER,222519,UNIT 1 STETSON WEST 2 WEST STREET UNIT 1,WEYMOUTH,MA,2190,1,Achievement,5,472,679,Achievement,5,5,773,801,759,Achievement,7,3,-,1.62%,14,864,Achievement,10,Achievement,6,12,6,7,7,-,37,27,Achievement,5,Achievement,8,9,10,-,42,39.727,37,Achievement,5,6,0.798,39.96988364,14,17.535,1.374,Achievement,5,142,155.049,Achievement,5,10,2,-,4,64,No Reduction,4/10/1992,FRESENIUS MEDICAL CARE,1/1/2012
WOBURN DIALYSIS,222520,23 WARREN AVENUE ,WOBURN,MA,1801,1,Achievement,5,372,533,Achievement,5,5,775,810,851,Achievement,7,9,-,0.12%,1,814,Achievement,10,Achievement,6,12,9,7,No Score,5,29,44,N/A,5,N/A,10,9,10,-,37,29.735,42,Achievement,5,10,0.307,40.1889117,5,16.265,0.743,Achievement,5,110,112.353,Achievement,5,10,2,-,4,63,No Reduction,5/4/1992,DAVITA,10/6/2005
UNIVERSITY DIALYSIS CENTER (BMA OF SHREWSBURY),222521,239-243 BOSTON TURNPIKE ROAD ,SHREWSBURY,MA,1545,1,Achievement,5,404,791,Achievement,5,5,1011,1035,1126,Achievement,7,8,-,0.46%,5,1085,Achievement,10,Achievement,6,12,7,7,No Score,5,29,38,N/A,5,N/A,10,9,10,-,48,40.22,39,Achievement,5,2,1.248,48.37234771,22,17.628,0.475,Achievement,5,145,146.753,Achievement,5,10,2,-,4,47,1.00%,4/10/1992,FRESENIUS MEDICAL CARE,9/28/2005
"PURE LIFE RENAL OF STOUGHTON, LLC",222523,MED. OFFICE BLDG SUITE M107 907 SUMNER STREET,STOUGHTON,MA,2072,1,Achievement,5,743,994,Achievement,5,5,1364,1442,1384,Achievement,7,5,-,1.24%,18,1450,Achievement,10,Achievement,6,12,6,7,3,-,42,33,Achievement,5,Achievement,10,9,10,-,46,55.44,60,Achievement,5,1,1.42,71.3045859,46,32.392,0.925,Achievement,5,213,218.499,Achievement,5,10,1,-,4,50,0.50%,12/7/1992,NOT A CHAIN,4/1/2016
FMC SERVICES OF STONEHAM,222524,2 MAIN STREET SUITE 100 ,STONEHAM,MA,2180,1,Achievement,5,363,583,Achievement,5,5,956,965,964,Achievement,7,8,-,0.50%,5,1006,Achievement,10,Achievement,6,12,9,7,4,-,36,56,Achievement,5,Achievement,10,9,10,-,29,31.39,34,Achievement,5,7,0.736,32.28199863,9,12.222,1.147,Achievement,5,119,100.07,Achievement,5,10,3,-,4,59,No Reduction,12/15/1992,FRESENIUS MEDICAL CARE,7/29/2003
MARY ELIZA MAHONEY DIALYSIS CENTER (BMA OF MASSACHUSETTS),222525,416 WARREN STREET ,ROXBURY,MA,2119,1,Achievement,5,600,881,Achievement,5,5,1289,1342,1370,Achievement,7,8,-,0.44%,6,1376,Achievement,10,Achievement,6,12,10,7,3,-,45,47,Achievement,5,Achievement,10,9,10,-,51,44.69,59,Achievement,5,7,0.698,61.86721424,16,22.921,0.812,Achievement,5,179,149.353,Achievement,5,10,1,-,4,55,0.50%,4/23/1993,FRESENIUS MEDICAL CARE,3/15/2006
BOSTON DIALYSIS,222526,DIALYSIS UNIT 660 HARRISON AVENUE,BOSTON,MA,2118,1,Achievement,5,865,1312,Achievement,5,5,2806,2934,2962,Achievement,7,6,-,0.82%,24,2942,Achievement,10,Achievement,6,12,8,7,2,-,105,113,Achievement,5,Achievement,9,9,10,-,79,67.837,76,Achievement,5,0,1.456,105.2977413,58,39.847,1.253,Achievement,5,310,299.334,Achievement,5,10,1,-,4,43,1.00%,6/23/1993,DAVITA,1/1/2006
BROOKLINE DIALYSIS,222529,322 WASHINGTON STREET ,BROOKLINE,MA,2445,1,Achievement,5,561,980,Achievement,5,5,1707,1736,1687,Achievement,7,6,-,1.01%,19,1876,Achievement,10,Achievement,6,12,8,7,4,-,66,69,Achievement,5,Achievement,9,9,10,-,53,52.895,67,Achievement,5,6,0.868,75.05270363,26,29.95,1.324,Achievement,5,205,206.571,Achievement,5,10,3,-,4,59,No Reduction,10/17/1994,DAVITA,10/6/2005
NEW BEDFORD DIALYSIS,222530,237-B STATE ROAD ,NORTH DARTMOUTH,MA,2747,1,Achievement,5,465,703,Achievement,5,5,1033,1063,1048,Achievement,7,9,-,0.18%,2,1115,Achievement,10,Achievement,6,12,7,7,5,-,47,47,Achievement,5,Achievement,10,9,10,-,25,24.561,30,Achievement,5,7,0.679,44.42436687,12,17.685,0.479,Achievement,5,100,125.689,Achievement,5,10,7,-,4,67,No Reduction,1/6/1995,DAVITA,4/27/2012
NORTHEAST CAMBRIDGE DIALYSIS,222533,799 CONCORD AVENUE ,CAMBRIDGE,MA,2138,1,Achievement,5,311,490,Achievement,5,5,839,861,921,Achievement,7,5,-,1.27%,11,864,Achievement,10,Achievement,6,12,7,7,7,-,36,51,Achievement,5,Achievement,10,9,10,-,24,24.258,23,Achievement,5,6,0.874,37.46201232,12,13.729,0.611,Achievement,5,98,82.911,Achievement,5,10,7,-,4,60,No Reduction,7/10/1995,DAVITA,1/1/2006
WELLESLEY DIALYSIS,222534,195 WORCESTER STREET LOWER LEVEL,WELLESLEY,MA,2481,1,Achievement,5,373,523,Achievement,5,5,817,832,823,Achievement,7,6,-,0.95%,8,838,Achievement,10,Achievement,6,12,6,7,No Score,5,27,31,N/A,5,N/A,10,9,10,-,25,23.212,18,Achievement,5,6,0.827,21.68651608,7,8.468,0.82,Achievement,5,90,90.624,Achievement,5,10,8,-,4,64,No Reduction,10/31/2011,AMERICAN RENAL ASSOCIATES,11/1/2011
EAST SPRINGFIELD DIALYSIS (BMA OF MASSACHUSETTS),222535,1515 STATE STREET ,SPRINGFIELD,MA,1109,1,Achievement,5,261,467,Achievement,5,5,1097,1155,813,Achievement,7,6,-,0.91%,11,1213,Achievement,10,Achievement,6,12,9,7,9,-,33,28,Achievement,5,Achievement,9,9,10,-,27,29.77,20,Achievement,5,4,0.995,44.25735797,16,16.073,0.423,Achievement,5,134,118.941,Achievement,5,10,2,-,4,65,No Reduction,6/7/1996,FRESENIUS MEDICAL CARE,3/21/2017
"PHYSICIANS DIALYSIS INC., - FITCHBURG",222536,551 ELECTRIC AVENUE ,FITCHBURG,MA,1420,1,Achievement,5,471,694,Achievement,5,5,1364,1409,1375,Achievement,7,6,-,0.86%,12,1394,Achievement,10,Achievement,6,12,8,7,1,-,59,62,Achievement,5,Achievement,10,9,10,-,31,29.301,31,Achievement,5,6,0.775,56.94455852,16,20.657,0.552,Achievement,5,121,158.915,Achievement,5,10,0,-,4,57,0.50%,10/2/1996,DAVITA,10/1/2004
HAMPSHIRE COUNTY DIALYSIS CENTER,222537,84 CONZ STREET ,NORTHAMPTON,MA,1060,1,Achievement,5,352,451,Achievement,5,5,580,593,556,Achievement,7,5,-,1.29%,8,621,Achievement,10,Achievement,6,12,8,7,No Score,5,27,33,N/A,5,N/A,9,9,10,-,15,12.379,14,Achievement,5,5,0.926,25.9247091,9,9.724,0.24,Achievement,5,56,67.329,Achievement,5,10,1,-,4,64,No Reduction,11/12/1996,FRESENIUS MEDICAL CARE,7/27/1999
PIONEER VALLEY DIALYSIS CENTER,222538,208 ASHLEY AVENUE ,WEST SPRINGFIELD,MA,1089,1,Achievement,5,623,978,Achievement,5,5,1202,1247,1306,Achievement,7,9,-,0.19%,3,1544,Achievement,10,Achievement,6,12,5,7,6,-,40,50,Achievement,5,Achievement,10,9,10,-,41,39.258,47,Achievement,5,1,1.334,58.80629706,30,22.496,0.951,Achievement,5,159,170.28,Achievement,5,10,1,-,4,52,0.50%,11/27/1996,FRESENIUS MEDICAL CARE,9/7/2005
YANKEE FAMILY DIALYSIS CENTER,222539,115 WILDWOOD AVENUE ,GREENFIELD,MA,1301,1,Achievement,5,320,479,Achievement,5,5,566,569,533,Achievement,7,4,-,1.46%,9,617,Achievement,10,Achievement,6,12,9,7,No Score,5,24,27,N/A,5,N/A,10,9,10,-,17,19.188,27,Achievement,5,10,0.421,31.816564,5,11.885,1.141,Achievement,5,67,84.293,Achievement,5,10,8,-,4,79,No Reduction,12/10/1996,FRESENIUS MEDICAL CARE,9/28/2005
WELLINGTON CIRCLE DIALYSIS CENTER,222542,10 CABOT ROAD SUITE 103B ,MEDFORD,MA,2155,1,Achievement,5,411,614,Achievement,5,5,1167,1191,1126,Achievement,7,10,-,0.00%,0,1244,Achievement,10,Achievement,6,12,8,7,7,-,38,58,Achievement,5,Achievement,10,9,10,-,22,26.148,29,Achievement,5,7,0.766,48.53935661,14,18.273,0.571,Achievement,5,109,106.066,Achievement,5,10,2,-,4,72,No Reduction,3/28/1997,DAVITA,2/1/2008
SALEM NORTHEAST DIALYSIS,222543,10 COLONIAL ROAD SUITE 205,SALEM,MA,1970,1,Achievement,5,649,812,Achievement,5,5,1335,1355,1176,Achievement,7,8,-,0.30%,4,1345,Achievement,10,Achievement,6,12,8,7,6,-,50,66,Achievement,5,Achievement,10,9,10,-,44,46.439,37,Achievement,5,2,1.328,59.84394251,30,22.583,0.619,Achievement,5,162,135.827,Achievement,5,10,5,-,4,66,No Reduction,7/11/1997,DAVITA,6/23/2017
NORTH ANDOVER RENAL CENTER,222545,201 SUTTON STREET ,NORTH ANDOVER,MA,1845,1,Achievement,5,737,889,Achievement,5,5,1354,1372,1358,Achievement,7,9,-,0.07%,1,1436,Achievement,10,Achievement,6,12,7,7,8,-,52,60,Achievement,5,Achievement,10,9,10,-,40,30.64,33,Achievement,5,5,0.916,67.54551677,23,25.102,1.041,Achievement,5,130,146.318,Achievement,5,10,7,-,4,71,No Reduction,9/22/1997,DAVITA,9/19/2016
PEABODY DIALYSIS CENTER,222546,19-A CENTENNIAL DRIVE ,PEABODY,MA,1960,1,Achievement,5,352,541,Achievement,5,5,849,862,849,Achievement,7,9,-,0.22%,2,905,Achievement,10,Achievement,6,12,9,7,5,-,32,47,Achievement,5,Achievement,10,9,10,-,32,27.719,29,Achievement,5,9,0.52,30.14921287,6,11.54,0.757,Achievement,5,97,98.965,Achievement,5,10,2,-,4,62,No Reduction,4/8/1998,FRESENIUS MEDICAL CARE,1/12/2018
NORWOOD DIALYSIS CENTER,222548,101 ACCESS ROAD ,NORWOOD,MA,2062,1,Achievement,5,87,152,Achievement,5,5,203,214,149,Achievement,7,8,-,0.45%,1,221,Achievement,10,Achievement,6,3,0,7,No Score,10,N/A,N/A,N/A,5,N/A,9,9,10,-,13,10.655,3,Achievement,5,7,0.733,10.0807666,5,4.486,1.044,Achievement,5,44,34.814,Achievement,5,6,7,-,4,41,1.00%,11/23/1998,NOT A CHAIN,8/23/2017
DCI BALL SQUARE,222549,643 BROADWAY ,SOMERVILLE,MA,2145,1,Achievement,5,465,658,Achievement,5,5,1289,1393,1312,Achievement,7,2,-,1.89%,27,1432,Achievement,10,Achievement,6,12,9,7,8,-,45,36,Achievement,5,Achievement,10,9,10,-,48,46.364,40,Achievement,5,5,0.956,65.30321697,23,24.062,1.163,Achievement,5,184,164.141,Achievement,5,10,5,-,4,58,0.50%,1/26/1999,"DIALYSIS CLINIC, INC.",6/16/2006
NORTH SHORE REGIONAL DIALYSIS CENTER,222550,133 BRIMBAL AVE UNIT E,BEVERLY,MA,1915,1,Achievement,5,491,822,Achievement,5,5,1089,1129,1153,Achievement,7,7,-,0.59%,7,1190,Achievement,10,Achievement,6,12,8,7,5,-,66,55,Achievement,5,Achievement,10,9,10,-,61,53.565,52,Achievement,5,8,0.592,53.59069131,13,21.953,1.233,Achievement,5,170,157.395,Achievement,5,10,4,-,4,55,0.50%,5/27/1999,FRESENIUS MEDICAL CARE,10/13/2005
FMC DIALYSIS SERVICES OF BLACKSTONE VALLEY,222551,42 CAPE ROAD ,MILFORD,MA,1757,1,Achievement,5,529,785,Achievement,5,5,1067,1119,1053,Achievement,7,7,-,0.61%,7,1142,Achievement,10,Achievement,6,12,9,7,4,-,57,57,Achievement,5,Achievement,10,9,10,-,49,41.536,49,Achievement,5,0,2.811,36.38603696,40,14.23,1.397,Achievement,5,149,149.002,Improvement,5,10,2,-,4,48,1.00%,11/30/1999,FRESENIUS MEDICAL CARE,1/13/2012
DCI BRIGHAM/FAULKNER,222552,"DCI BRIGHAM/FAULKNER 1153 CENTRE STREET, BELKIN HOUSE",JAMAICA PLAIN,MA,2130,1,Achievement,5,760,969,Achievement,5,5,1545,1693,1624,Improvement,7,1,-,2.20%,39,1770,Achievement,10,Achievement,6,12,8,7,4,-,52,42,Achievement,5,Achievement,9,9,10,-,49,47.045,37,Achievement,5,6,0.811,70.88569473,21,25.892,0.537,Achievement,5,186,199.843,Achievement,5,10,0,-,4,55,0.50%,6/4/2001,"DIALYSIS CLINIC, INC.",6/21/2008
FRESENIUS MEDICAL CARE OF MASHPEE,222553,34 BATES ROAD SUITE 201,MASHPEE,MA,2649,1,Achievement,5,385,551,Achievement,5,5,641,656,569,Achievement,7,5,-,1.30%,9,692,Achievement,10,Achievement,6,12,8,7,4,-,34,33,Achievement,5,Achievement,10,9,10,-,21,23.89,11,Achievement,5,6,0.879,36.42710472,13,14.784,1.222,Achievement,5,85,98.994,Achievement,5,10,3,-,4,65,No Reduction,6/1/2001,FRESENIUS MEDICAL CARE,5/2/2016
BURLINGTON REGIONAL DIALYSIS,222556,31 MALL ROAD-DIALYSIS SUITE 1B ,BURLINGTON,MA,1803,1,Achievement,5,430,581,Achievement,5,5,1060,1068,1039,Achievement,7,5,-,1.12%,12,1069,Achievement,10,Achievement,6,12,9,7,7,-,34,41,Achievement,5,Achievement,10,9,10,-,47,40.03,54,Achievement,5,2,1.278,40.04106776,19,14.862,1.331,Achievement,5,139,122.944,Improvement,5,10,7,-,4,62,No Reduction,6/1/2002,DAVITA,5/14/2008
FMC DIALYSIS SERVICES OF PALMER,222557,42 WRIGHT STREET ,PALMER,MA,1069,1,Achievement,5,216,344,Achievement,5,5,365,380,369,Achievement,7,7,-,0.74%,3,406,Achievement,10,Achievement,6,12,10,7,No Score,5,16,11,N/A,5,N/A,8,9,10,-,9,9.306,20,Achievement,5,9,0.471,19.02806297,4,8.325,0.934,Achievement,5,36,63.219,Achievement,5,10,1,-,4,77,No Reduction,1/28/2003,FRESENIUS MEDICAL CARE,12/2/2006
DCI WALDEN POND,222559,56 B WINTHROP STREET ,CONCORD,MA,1742,1,Achievement,5,298,369,Achievement,5,5,426,433,418,Achievement,7,3,-,1.64%,8,488,Achievement,10,Achievement,6,12,8,7,No Score,5,24,34,N/A,5,N/A,10,9,10,-,9,9.766,5,Achievement,5,9,0.45,21.48391513,4,8.882,0.88,Achievement,5,34,54.333,Achievement,5,10,10,-,4,82,No Reduction,6/9/2003,"DIALYSIS CLINIC, INC.",9/6/2005
SPRINGFIELD DIALYSIS CENTER,222560,"125 LIBERTY STREET, SUITE 101 ",SPRINGFIELD,MA,1103,1,Achievement,5,321,474,Achievement,5,5,778,783,794,Achievement,7,4,-,1.65%,13,787,Improvement,10,Improvement,6,12,8,7,No Score,5,12,12,N/A,5,N/A,9,9,10,-,21,21.212,35,Achievement,5,6,0.778,33.76865161,10,12.856,0.681,Achievement,5,78,83.835,Achievement,5,8,2,-,4,65,No Reduction,7/15/2003,AMERICAN RENAL ASSOCIATES,5/8/2010
SOUTH COUNTY DIALYSIS CENTER,222561,336 THOMPSON ROAD SUITE 1 ,WEBSTER,MA,1570,1,Achievement,5,687,883,Achievement,5,5,1011,1016,1077,Achievement,7,8,-,0.38%,4,1056,Achievement,10,Achievement,6,12,8,7,8,-,47,48,Achievement,5,Achievement,10,9,10,-,41,35.875,26,Achievement,5,2,1.265,52.05475702,26,20.558,0.688,Achievement,5,137,163.019,Achievement,5,10,2,-,4,69,No Reduction,9/3/2003,FRESENIUS MEDICAL CARE,1/28/2012
FMC OF NEWBURYPORT,222562,260 MERRIMAC STREET TOWLE BUILDING,NEWBURYPORT,MA,1950,1,Achievement,5,374,547,Achievement,5,5,574,602,589,Achievement,7,5,-,1.15%,7,607,Achievement,10,Achievement,6,12,10,7,6,-,34,22,Achievement,5,Achievement,7,9,10,-,28,27.429,38,Achievement,5,7,0.735,30.16837782,9,12.243,0.954,Achievement,5,99,108.717,Achievement,5,10,0,-,4,62,No Reduction,4/14/2004,FRESENIUS MEDICAL CARE,4/15/2004
PDI - WORCESTER,222564,19 GLENNIE STREET SUITE A,WORCESTER,MA,1605,1,Achievement,5,805,1085,Achievement,5,5,1585,1658,1735,Achievement,7,4,-,1.43%,26,1814,Achievement,10,Achievement,6,12,7,7,8,-,73,70,Achievement,5,Achievement,10,9,10,-,56,53.215,57,Achievement,5,1,1.355,74.32443532,36,26.566,1.116,Achievement,5,244,196.974,Achievement,5,10,1,-,4,57,0.50%,3/10/2005,DAVITA,1/1/2008
FRESENIUS MEDICAL CARE OF METHUEN,222565,421 MERRIMACK STREET ,METHUEN,MA,1844,1,Achievement,5,457,681,Achievement,5,5,1037,1111,1138,Achievement,7,8,-,0.52%,6,1146,Achievement,10,Achievement,6,12,8,7,No Score,5,26,31,N/A,5,N/A,8,9,10,-,38,31.222,56,Improvement,5,5,0.92,51.16495551,17,18.477,1.132,Achievement,5,128,127.596,Achievement,5,10,0,-,4,45,1.00%,5/5/2005,FRESENIUS MEDICAL CARE,8/12/2005
FRESENIUS MEDICAL CARE OF PLYMOUTH CORDAGE,222567,10 CORDAGE PARK CIRCLE SUITE 213,PLYMOUTH,MA,2360,1,Achievement,5,524,706,Achievement,5,5,965,985,893,Achievement,7,7,-,0.70%,7,998,Achievement,10,Achievement,6,12,9,7,2,-,34,32,Achievement,5,Achievement,10,9,10,-,42,38.647,40,Achievement,5,4,1.092,39.03353867,17,15.563,1.661,Achievement,5,150,154.842,Achievement,5,10,6,-,4,59,No Reduction,1/20/2006,FRESENIUS MEDICAL CARE,10/22/2014
THE DIALYSIS CENTER AT WALTHAM,222568,"135 BEAVER STREET, SUITE 111 ",WALTHAM,MA,2452,1,Achievement,5,353,446,Achievement,5,5,561,570,596,Achievement,7,5,-,1.23%,7,571,Achievement,10,Achievement,6,12,9,7,No Score,5,25,22,N/A,5,N/A,10,9,10,-,12,13.167,19,Achievement,5,9,0.523,29.06502396,6,11.479,2.193,Achievement,5,56,68.146,Achievement,5,10,7,-,4,80,No Reduction,2/28/2006,AMERICAN RENAL ASSOCIATES,5/8/2010
FRESENIUS MEDICAL CARE OF MARLBOROUGH,222570,360 CEDAR HILL STREET SUITE 3,MARLBOROUGH,MA,1752,1,Achievement,5,478,575,Achievement,5,5,724,745,739,Achievement,7,9,-,0.24%,2,829,Achievement,10,Achievement,6,12,8,7,6,-,39,34,Achievement,5,Achievement,10,9,10,-,15,16.274,28,Achievement,5,8,0.586,37.51676934,8,13.661,0.82,Achievement,5,71,92.295,Achievement,5,10,7,-,4,76,No Reduction,10/25/2007,FRESENIUS MEDICAL CARE,8/25/2010
DIALYSIS CENTER OF WESTERN MASSACHUSETTS,222571,"601 MEMORIAL DRIVE, SUITE H ",CHICOPEE,MA,1020,1,Achievement,5,349,547,Achievement,5,5,917,940,908,Achievement,7,6,-,0.94%,9,953,Achievement,10,Achievement,6,12,6,7,No Score,5,29,28,N/A,5,N/A,8,9,10,-,39,32.031,40,Achievement,5,3,1.165,44.00821355,21,18.021,1.407,Achievement,5,129,124.444,Achievement,5,10,5,-,4,52,0.50%,9/29/2008,AMERICAN RENAL ASSOCIATES,5/8/2010
"HERITAGE DIALYSIS CENTER, LLC",222572,67 COOPER STREET ,AGAWAM,MA,1001,1,Achievement,5,354,647,Achievement,5,5,870,877,745,Achievement,7,7,-,0.69%,6,866,Achievement,10,Achievement,6,12,4,7,No Score,5,16,20,N/A,5,N/A,7,9,10,-,60,46.139,50,Achievement,5,7,0.657,36.84052019,11,16.751,0.588,Achievement,5,135,118.102,Achievement,5,10,4,-,4,45,1.00%,11/24/2009,AMERICAN RENAL ASSOCIATES,5/8/2010
TAUNTON REGIONAL DIALYSIS CENTER,222573,"MILL RIVER PLACE 1 WASHINGTON ST, SUITE 9",TAUNTON,MA,2780,1,Achievement,5,516,797,Achievement,5,5,1002,1022,1025,Achievement,7,6,-,0.85%,9,1063,Achievement,10,Improvement,6,12,8,7,9,-,39,43,Achievement,5,Achievement,10,9,10,-,51,36.246,43,Achievement,5,4,1.008,45.09787817,18,17.852,1.314,Achievement,5,131,155.04,Achievement,5,8,1,-,4,67,No Reduction,7/22/2010,AMERICAN RENAL ASSOCIATES,8/14/2010
BROCKTON REGIONAL KIDNEY CENTER,222574,76 CAMPANELLI INDUSTRIAL DRIVE ,BROCKTON,MA,2301,1,Achievement,5,427,569,Achievement,5,5,1133,1150,1148,Achievement,7,6,-,0.95%,11,1154,Achievement,10,Achievement,6,12,9,7,3,-,32,34,Achievement,5,Achievement,10,9,10,-,35,33.816,22,Achievement,5,1,1.422,44.58316222,24,16.883,0.384,Achievement,5,107,102.801,Achievement,5,5,2,-,4,58,0.50%,8/11/2010,AMERICAN RENAL ASSOCIATES,7/31/2010
US RENAL CARE QUINCY,222576,500 VICTORY ROAD ,QUINCY,MA,2171,1,Achievement,5,342,480,Achievement,5,5,707,731,624,Achievement,7,4,-,1.98%,15,757,Improvement,10,Achievement,6,12,9,7,No Score,5,28,31,N/A,5,N/A,10,9,10,-,25,23.656,25,Achievement,5,8,0.566,27.56741958,6,10.61,0.566,Achievement,5,91,84.263,Achievement,5,10,3,-,4,62,No Reduction,2/2/2012,NOT A CHAIN,1/11/2018
FRESENIUS MEDICAL CARE OF WAREHAM,222577,100 ROSEBROOK WAY SUITE 100,WAREHAM,MA,2571,1,Achievement,5,245,422,Achievement,5,5,536,545,423,Achievement,7,10,-,0.00%,0,597,Achievement,10,Achievement,6,12,8,7,No Score,5,21,11,N/A,5,N/A,10,9,10,-,25,20.123,22,Achievement,5,0,1.532,21.25393566,13,8.486,0.437,Achievement,5,65,67.745,Achievement,5,10,0,-,4,50,0.50%,2/1/2013,FRESENIUS MEDICAL CARE,11/10/2014
US RENAL CARE FOXBOROUGH DIALYSIS,222579,10 LINCOLN RD SUITE 101,FOXBOROUGH,MA,2035,1,Achievement,5,194,269,Achievement,5,5,396,404,365,Achievement,7,5,-,1.19%,5,420,Achievement,10,Achievement,6,12,5,7,No Score,5,24,21,N/A,5,N/A,10,9,10,-,27,23.125,11,Achievement,5,8,0.649,15.49623546,4,5.336,0.815,Achievement,5,80,60.319,Achievement,5,9,8,-,4,60,No Reduction,8/1/2013,"US RENAL CARE, INC.",4/1/2016
"ARA-LUDLOW DIALYSIS, LLC",222580,"14 CHESTNUT PLACE, SUITE B ",LUDLOW,MA,1056,1,Achievement,5,277,381,Achievement,5,5,534,537,523,Achievement,7,10,-,0.00%,0,541,Achievement,10,Achievement,6,12,7,7,9,-,31,26,Achievement,5,Achievement,10,9,10,-,12,16.008,5,Achievement,5,6,0.782,23.51266256,8,10.227,1.596,Achievement,5,61,63.366,Achievement,5,10,8,-,4,80,No Reduction,12/12/2013,AMERICAN RENAL ASSOCIATES,11/10/2014
ATTLEBORO DIALYSIS CENTER,222581,111 PLEASANT ST ,ATTLEBORO,MA,2703,1,Improvement,5,168,244,Achievement,5,5,335,355,293,Achievement,7,8,-,0.29%,1,350,Achievement,10,Achievement,6,12,10,7,No Score,5,19,19,N/A,5,N/A,5,9,10,-,19,13.629,8,Achievement,5,10,0,15.00616016,0,5.409,1.108,Achievement,5,46,36.147,Achievement,5,10,3,-,4,51,0.50%,4/23/2014,FRESENIUS MEDICAL CARE,11/10/2014
FRESENIUS MEDICAL CARE MERRIMACK VALLEY,222582,100 MILK STREET ,METHUEN,MA,1844,1,Improvement,5,488,731,Achievement,5,5,893,933,941,Achievement,7,5,-,1.26%,12,951,Achievement,10,Achievement,6,12,8,7,9,-,35,50,Achievement,5,Achievement,10,9,10,-,41,33.356,34,Achievement,5,7,0.753,39.92334018,11,14.606,0.549,Achievement,5,119,121.369,Achievement,5,10,0,-,4,61,No Reduction,9/1/2013,FRESENIUS MEDICAL CARE,5/2/2016
FRESENIUS MEDICAL CARE OF LOWELL,222583,847 ROGERS STREET SUITE 101 ,LOWELL,MA,1852,1,Achievement,5,936,1380,Achievement,5,5,2095,2216,2211,Achievement,7,8,-,0.35%,8,2255,Achievement,10,Achievement,6,12,9,7,2,-,73,91,Achievement,5,Achievement,10,9,10,-,69,68.313,80,Achievement,5,5,0.94,101.9137577,36,38.295,1.017,Achievement,5,286,241.436,Achievement,5,10,0,-,4,47,1.00%,4/14/2014,FRESENIUS MEDICAL CARE,4/4/2018
DIALYSIS CENTER OF ATTLEBORO LLC,222584,217 SOUTH MAIN STREET STORE 7,ATTLEBORO,MA,2703,1,Achievement,5,312,434,Achievement,5,5,506,509,530,Achievement,7,10,-,0.00%,0,522,Achievement,10,Achievement,6,12,7,7,No Score,5,22,20,N/A,5,N/A,10,9,10,-,10,11.81,17,Achievement,5,9,0.449,27.88774812,6,13.35,1.608,Achievement,5,47,77.77,Achievement,5,10,8,-,4,78,No Reduction,10/21/2014,AMERICAN RENAL ASSOCIATES,6/16/2015
